Response,Var3,glide ligand efficiency sa,glide evdw,glide ecoul,glide emodel,glide energy,glide einternal,XP GScore,XP HBond,HOMO,LUMO,Lowest Frequency (cm-1),Highest Frequency (cm-1),2nd Lowest Frequency (cm-1),Var24,pZPE,Heat Capacity (cal/mol/K) 298.15K 1.00E+00atm,ln(Q) 298.15K 1.00E+00atm,Prime Coulomb,Prime Covalent,Prime vdW,Prime Solv GB,Prime Energy,Prime Bond Covalent,Prime Angle Covalent,Prime Angle SGB,Prime Torsion Covalent,Prime NB14 LJ,Prime NB14 Elec,Prime NB14 SGB,Prime NBShort LJ,Prime NBShort Lipo,Prime NBShort Elec,Prime NBShort SGB,Prime NBLong LJ,Prime NBLong SGB,Prime Self SGB,Prime Hbond,Prime Packing,Prime SelfCont,gridbox xcent,gridbox ycent,gridbox zcent,gridbox zrange,glide lipo,glide rewards,glide erotb,XP RotPenal,XP LipophilicEvdW,XP Electro,XP Sitemap,IFDScore,HOMO-1,LUMO-1,Zero Point Energy (kcal/mol)-1,"Enthalpy (kcal/mol, 298K)","Free Energy (kcal/mol, 298K)",Total Free Energy at 298.15K (au),X,Centralization,Eccentric connectivity,2-path Kier alpha-modified shape index,3-path Kier alpha-modified shape index,ALOGP10,Average valence connectivity index chi-0,Average valence connectivity index chi-4,Average valence connectivity index chi-5,Balaban-type index from van der waals weighted distance matrix,Balaban distance connectivity index,Connectivity index chi-2,Connectivity index chi-4,E-state topological parameter,Eccentric,First Mohar,First Zagreb index by valence vertex degrees,Global topological charge,Harary,Kier benzene-likeliness index,Kier flexibility,Maximal electrotopological negative variation,Maximal electrotopological positive variation,Mean Wiener,Modified Randic connectivity,Molecular electrotopological variation,Schultz Molecular Topological by valence vertex degrees,Solvation connectivity index chi-5,Valence connectivity index chi-0,Valence connectivity index chi-4,Valence connectivity index chi-5,Van der Waals surface area,Wiener-type index from mass weighted distance matrix,Wiener-type index from van der waals weighted distance matrix,MW,AlogP,Var148,PSA,Estate,Polar
4.822175028,-4.144,-1.075,-31.993,-31.865,-95.21,-63.857,20.609,-10.604,-6.46,-0.22379,-0.0452,23.392,3810.572,29.504,958.1354952,-2.981426929,113.932,59.088,-3811.89,718.87,-332,-350.12,-4122.91,59.349,306.781,-3197.57,352.74,487.539,3208.349,-2719.572,-783.92,-229.755,-6996.033,3252.126,-35.621,25.159,-5625.628,-85.86,-12.58,-19.58,-13.06,21.755,1.18,24.349,-0.88,-0.603,0.399,0.171,-2.215,-2,-0.292,-216.75,-0.35604,0.04754,299.466,16.915,-32.939,-1954.146227,34.90225,1532,718,9.6631217,4.77898389,145.5867837,0.56473702,0.0532268,0.03028712,1.39412239,1.6450282,13.38947658,9.04738987,105.7303634,1.58584807,128.3034133,526.4444444,0.53475466,125.5114275,0.96610188,7.3826646,4.98095121,5.83709422,5.91397849,104.9833402,67.57376676,21537.77778,8.03241092,17.50684748,4.31137076,2.96813818,456.4564384,1934.002538,3295.319393,460.4589,-1.6483,0.022475016,193.87,88.25,46.356
2.745693668,-5.067,-1.048,-29.6,-27.518,-75.266,-57.118,8.497,-10.346,-5.279,-0.25031,-0.08107,17.855,3793.05,24.754,1106.23867,-3.043848836,107.023,56.103,-3789.89,701.8,-333.88,-357.98,-4128.24,60.567,301.621,-3189.626,339.61,489.092,3225.556,-2716.559,-787.134,-233.235,-6991.352,3241.022,-35.839,24.129,-5622.115,-83.89,-14.81,-16.36,-13.521,21.72,1.639,24.426,-0.887,-0.414,0.346,0.148,-3.25,-2,-0.106,-216.76,-0.34646,0.02776,287.317,15.383,-31.593,-1879.055821,45.96328,1500,745,8.60971038,4.07257982,128.0112605,0.5483791,0.05385369,0.03076324,1.24916973,1.39034077,13.77311739,9.81923853,88.36117988,1.58584807,182.2735588,488.4444444,0.48236571,127.1685703,0.96932728,6.05533326,4.82720121,5.93876088,5.87956989,103.3683692,61.95338383,21098.77778,8.69330097,16.99975197,4.792978,3.35319318,426.9075224,1908.292325,3059.192515,450.4656,-0.7071,0.196290825,175.41,85.25,49.77
3.358030402,-4.078,-1.119,-31.421,-17.978,-84.018,-49.399,0,-10.801,-6.723,-0.27291,-0.09009,19.355,3819.071,22.94,1362.158196,-3.134227548,104.616,56.459,-3796.03,693.76,-339.86,-353.31,-4141.82,57.472,296.501,-3257.237,339.791,483.426,3247.769,-2717.262,-787.397,-230.612,-7026.299,3274.412,-35.885,17.993,-5704.922,-85.3,-11.01,-19.45,-12.249,19.802,2.406,22.38,-0.472,-0.437,0.706,0.212,-2.748,-1.998,-0.29,-217.89,-0.42022,0.00092,256.363,15.716,-32.215,-1933.911086,87.03907,1476,740,8.85104338,4.59299414,104.5540353,0.53438038,0.05024383,0.0282152,1.28335581,1.56947935,13.3830499,8.49653569,106.9270119,1.77777778,123.4029957,542.4444444,0.55051103,118.2056416,0.93620526,6.61645657,5.18599515,5.34739231,6.04137931,100.8780497,74.51979185,22052.44444,6.9643373,16.03141134,3.7180433,2.48293763,415.7094134,1826.310553,3208.061575,445.4012,-1.5503,0.028164367,209.91,94.25,43.256
2.950007143,-4.388,-1.066,-38.505,-19.563,-83.328,-58.068,9.535,-10.295,-5.907,-0.27443,-0.08437,-2.797,3803.875,6.734,254.5630707,-2.405795401,102.364,56.908,-3796.73,707.27,-329.34,-366.76,-4132.97,58.494,299.573,-3259.338,349.2,489.405,3260.278,-2730.296,-783.096,-234.081,-7047.387,3282.487,-35.645,9.178,-5686.494,-83.58,-13.49,-16.27,-13.402,22.446,2.712,26.828,-1.348,-0.618,0.706,0.303,-3.01,-1.467,-0.197,-216.94,-0.37744,0.0486,257.286,15.405,-32.12,-1933.914074,18.96782,1454,791,8.85104338,4.75070846,104.5540353,0.53438038,0.05077826,0.02820578,1.2410918,1.47667836,13.46736956,8.34940611,105.1570023,1.99111111,126.8561344,542.4444444,0.56691661,116.177825,0.93620526,6.61645657,5.12948038,5.23017188,6.3954023,100.7686108,73.35869549,23277.77778,6.92008838,16.03141134,3.65603468,2.42569715,415.7094134,1928.97722,3310.728242,445.4012,-1.5503,0.028164367,209.91,94.25,43.256
4.327625021,-4.388,-1.009,-32.495,-21.41,-83.019,-53.904,8.444,-9.737,-5.349,-0.27003,-0.07708,4.977,3810.377,12.021,4.888527395,-0.689178053,105.808,58.14,-3802.68,712.32,-332.47,-360.95,-4127.95,58.526,303.011,-3270.705,350.781,486.07,3249.401,-2724.99,-782.568,-231.442,-7042.473,3291.716,-35.973,10.666,-5690.771,-84.01,-12.52,-16.19,-13.483,22.22,2.44,26.463,-0.937,-0.668,0.709,0.304,-2.851,-1.606,-0.252,-216.13,-0.40434,0.01578,261.997,14.719,-30.831,-1913.778092,6.20048,1454,791,8.85104338,4.75070846,104.5540353,0.53743877,0.0534339,0.02996658,1.33513474,1.47667836,13.46736956,8.34940611,107.4940461,1.99111111,126.8561344,522.4444444,0.56691661,116.177825,0.95282251,6.61645657,4.87948038,5.34128299,6.3954023,100.3418341,71.43504023,22971.77778,6.92008838,16.12316305,3.84724111,2.57712601,419.0313058,1961.169341,3095.376239,444.4164,-2.0111,0.009747652,212.71,93.25,43.97
4.789146635,-5.091,-1.132,-27.536,-31.098,-91.667,-58.634,9.733,-10.929,-5.838,-0.26912,-0.08668,19.653,3813.225,27.04,1014.891161,-3.00641947,105.287,56.501,-3802.43,699.73,-337.32,-360.09,-4145.38,58.436,296.302,-3242.078,344.996,483.265,3245.551,-2724.763,-784.325,-232.36,-7047.259,3286.231,-36.262,1.616,-5682.644,-85.52,-11.12,-16.26,-13.4,22.28,2.163,25.29,-1.583,-1.109,0.496,0.213,-3.051,-2,-0.383,-218.2,-0.40298,0.0207,265.417,15.538,-32.036,-1914.068705,38.2116,1476,740,8.85104338,4.59299414,104.5540353,0.53743877,0.05294088,0.03009141,1.38428126,1.56947935,13.3830499,8.49653569,109.2081744,1.77777778,123.4029957,522.4444444,0.55051103,118.2056416,0.95282251,6.61645657,4.93599515,5.45850342,6.04137931,100.451273,72.45647301,21768.44444,6.9643373,16.12316305,3.91762548,2.64804403,419.0313058,1858.502675,2992.709573,444.4164,-2.0111,0.009747652,212.71,93.25,43.97
1.012065735,-5.169,-1.059,-28.881,-26.644,-80.527,-55.525,9.735,-10.452,-5.283,-0.23048,-0.06085,10.282,3787.608,22.862,1415.300719,-3.150848727,105.645,55.406,-3777.86,705.54,-325.64,-355.28,-4099.48,59.529,295.786,-3182.275,350.223,494.188,3249.406,-2740.338,-784.26,-232.913,-7003.431,3262.239,-35.57,23.842,-5629.067,-83.53,-13.43,-16.37,-13.812,21.757,1.448,24.647,-1.502,-0.408,0.492,0.211,-3.35,-1.998,-0.104,-215.43,-0.33986,0.0389,278.092,15.46,-31.908,-1898.912031,114.43,1544,792,8.60971038,4.19772016,128.0112605,0.54541936,0.05074557,0.02877245,1.1331412,1.34871047,13.84192166,9.51233176,84.90847417,1.72528616,184.6805922,508.4444444,0.49919566,125.8214647,0.95315959,6.05533326,5.04206469,5.65735263,6.06021505,103.6941254,63.62623851,22023.44444,8.35717656,16.90800026,4.31337372,3.04987991,423.58563,1929.564382,3347.783802,451.4503,-0.2463,0.567152695,172.61,86.25,49.056
0.598771833,-4.474,-1.027,-30.237,-22.363,-74.897,-52.6,5.047,-10.133,-5.659,-0.23322,-0.06178,-5.49,3775.355,24.976,1117.530376,-3.048259337,103.287,54.129,-3769.48,702.7,-319.85,-363.81,-4099.37,60.687,303.677,-3166.162,338.336,493.016,3263.072,-2767.583,-776.301,-227.559,-7009.684,3270.022,-36.567,22.766,-5620.61,-85.45,-16.53,-19.38,-13.163,17.798,2.189,24.655,-0.806,-0.628,0.492,0.148,-2.883,-1.677,-0.153,-215.1,-0.33828,0.04411,277.92,15.491,-31.956,-1898.884598,47.2039,1533,847,8.60971038,4.32871827,128.0112605,0.54541936,0.05122127,0.02877538,1.09542516,1.26997238,13.92624132,9.36520218,83.45197672,1.93756504,189.9760657,508.4444444,0.51495868,123.7014264,0.95315959,6.05533326,4.98554992,5.5401322,6.41505376,103.5846865,62.51460937,23269.77778,8.31292764,16.90800026,4.25136509,2.99263943,423.58563,2039.564382,3457.783802,451.4503,-0.2463,0.567152695,172.61,86.25,49.056
2.018362575,-4.813,-1.044,-26.893,-23.767,-71.492,-50.66,8.829,-10.307,-5.494,-0.23021,-0.05649,6.386,3788.173,22.385,1031.17892,-3.013334026,107.621,56.777,-3790.97,706.14,-326.42,-359.22,-4114.71,59.899,303.848,-3201.08,342.395,491.185,3261.564,-2740.681,-781.304,-231.234,-7046.881,3284.569,-36.3,4.991,-5637.65,-84.63,-12.11,-16.27,-13.225,21.308,1.5,23.554,-0.781,-0.618,0.494,0.148,-3.073,-1.783,-0.189,-216.04,-0.33165,0.05451,286.721,15.596,-32.037,-1879.048785,37.2656,1533,847,8.60971038,4.32871827,128.0112605,0.5483791,0.05349473,0.03029234,1.18120518,1.26997238,13.92624132,9.36520218,85.54108527,1.93756504,189.9760657,488.4444444,0.51495868,123.7014264,0.96879936,6.05533326,4.73554992,5.65124331,6.41505376,103.1579098,60.13646007,22955.77778,8.31292764,16.99975197,4.44006235,3.15040382,426.9075224,2074.292325,3225.192515,450.4656,-0.7071,0.196290825,175.41,85.25,49.77
2.483729117,-5.345,-1.075,-35.305,-27.589,-96.294,-62.894,7.201,-10.611,-5.266,-0.23361,-0.0623,-1.748,3787.41,25.734,1407.018153,-3.148299701,104.205,54.312,-3770.16,702.75,-330.19,-356.21,-4102.02,58.821,296.39,-3198.428,347.543,491.943,3234.624,-2722.889,-786.391,-234.118,-6984.279,3254.587,-35.747,20.726,-5638.93,-84.16,-13.53,-16.4,-13.787,22.653,1.746,26.114,-1.462,-0.432,0.494,0.148,-3.589,-2,-0.159,-215.71,-0.3451,0.03263,286.877,15.453,-31.887,-1879.058059,108.2387,1544,792,8.60971038,4.19772016,128.0112605,0.5483791,0.05306408,0.03038983,1.22524135,1.34871047,13.84192166,9.51233176,86.93943181,1.72528616,184.6805922,488.4444444,0.49919566,125.8214647,0.96879936,6.05533326,4.79206469,5.76846374,6.06021505,103.2673487,61.10842562,21731.44444,8.35717656,16.99975197,4.51044672,3.22132184,426.9075224,1964.292325,3115.192515,450.4656,-0.7071,0.196290825,175.41,85.25,49.77
